ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
010001600,123617500,50437660,600,MASSIE RD,,80 AC JAG SCHOOL,3516163.2
010001200,1721100,50437661,1159,MILLMONT ST,,LOT C-1 WEST BAR,25264.8
010001500,2146000,50437662,1149,MILLMONT ST,,LOT C-2A WEST BAR,39944.52
010001000,166481200,50437663,1117,EMMET ST N,,39.832 ACRES BARRACKS ROAD SHOPPING CENTER,1937043.504
010001300,1218100,50437664,1135-37,MILLMONT ST,,LOT C-2B WEST BAR,17816.04
010001400,12348300,50437665,1111,MILLMONT ST,,LOT B-1 WEST BAR,143181.72
010004100,4864200,50437666,1170,EMMET ST N,,PARCEL 3 & PAR X,51879.96
010001700,9919400,50437667,1101,MILLMONT ST,,PARCEL V WEST BAR,150761.16
010004000,4361800,50437668,1138,EMMET ST N,,LOT M,109104.732
010004300,906800,50437669,1134,EMMET ST N,,LOT 2B,8886.24
010005000,434100,50437670,2030,BARRACKS RD,,LOT 11 BK 10 RUGBY,36198.36
010018000,15256100,50437671,1001,EMMET ST N,,"PARCELS 1,2 &3",315417.96
010006000,1415300,50437672,2028,BARRACKS RD,,LOTS 9 & 10 BK 10 RUGBY,82676.88
010017100,1881300,50437673,1895,WESTVIEW RD,,LOT B BK 11 RUGBY,40336.56
010007000,2499400,50437674,1930,BARRACKS RD,,"LOTS 7,8 & STRIP BK 10 RUGBY",90125.64
010016000,978200,50437675,1891,WESTVIEW RD,,LOT 2 BK 11 RUGBY,43560
010008000,498000,50437676,1924,BARRACKS RD,,LOT 6 & PT 5 BK 10 RUGBY,59633.64
010017000,1399400,50437677,1893,WESTVIEW RD,,LOT A BK 11 RUGBY,19645.56
010015000,1407100,50437678,1889,WESTVIEW RD,,LOT 3 BK 11 RUGBY,41120.64
010009000,1457600,50437679,1920,BARRACKS RD,,LOT 4 & PT LOT 5 BK 10 RUGBY,88252.56
010014000,1740100,50437680,1885,WESTVIEW RD,,LOT 4 BK 11 RUGBY,56235.96
010019000,900600,50437681,1890,WESTVIEW RD,,6537 SQ FT BK 9 RUGBY,6534
010020000,1585100,50437682,1888,WESTVIEW RD,,"LOTS 10,11 &TRI LOT BK 9 RUGBY",22215.6
020001000,436100,50437683,1916,BARRACKS RD,,LOT 3 BK 10 RUGBY,50006.88
010012000,936700,50437684,1857,WESTVIEW RD,,PT LOTS 5 & 6 BK 11 RUGBY,37505.16
010021000,1458700,50437685,1884,WESTVIEW RD,,LOT 12 BK 9 RUGBY,14984.64
020002000,269200,50437686,1914,BARRACKS RD,,PT LOT 2,25003.44
010011000,1270500,50437687,1855,WESTVIEW RD,,PT LOTS 6 & 7 BK 11 RUGBY,44387.64
020003000,1721000,50437688,1910,BARRACKS RD,,LOT 1 & PT 2 BK 10 RUGBY,103324.32
010033000,778000,50437689,1884,FIELD RD,,PT LOT 18 BK 8 RUGBY,12066.12
010048000,3617900,50437690,918,EMMET ST N,,LOT A-2,32626.44
010022000,1491800,50437691,1882,WESTVIEW RD,,LOT 13 BK 9 RUGBY,15071.76
010034000,1179300,50437692,1882,FIELD RD,,LOT 17 & PT 18 BK 8 RUGBY,14157
010030100,1039100,50437693,1871,FIELD RD,,PT LOTS 7 & 8 BK 9 RUGBY,14244.12
010010000,1315900,50437694,1851,WESTVIEW RD,,LOT 8 & PT 7 BK 11 RUGBY,40510.8
010023000,1085100,50437695,1880,WESTVIEW RD,,LOT 14 BK 9 RUGBY,14984.64
010048200,3579400,50437696,914,EMMET ST N,,LOT A-1,30230.64
020004000,811000,50437697,120,BUCKINGHAM RD,,LOT 1 RUGBY SIDE,24175.8
010035000,865500,50437698,1874,FIELD RD,,LOT 16 BK 8 RUGBY,17511.12
010047000,1421100,50437699,905,FENDALL TER,,"LOT 15, PT 14 & STR BK 6 RUGBY",70000.92
010030000,1035500,50437700,1869,FIELD RD,,PT LOTS 6 & 7 BK 9 RUGBY,14244.12
020005000,1340000,50437701,128,BUCKINGHAM RD,,LOTS 2 & 3 RUGBY SIDE,39552.48
010049000,976200,50437702,900,EMMET ST N,,LOT 3 BK 4 DUKE,18077.4
020026000,2225000,50437703,1861,WESTVIEW RD,,"LOTS 9,10 & PT 11 BK 11 RUGBY",76186.44
010036000,941400,50437704,1872,FIELD RD,,LOT 15 BK 8 RUGBY,17511.12
010029000,1079700,50437705,1867,FIELD RD,,LOT 5 & PT 6 BK 9 RUGBY,18556.56
010049100,537700,50437706,902,EMMET ST N,,LOT,9191.16
020006300,1052000,50437707,118,BUCKINGHAM RD,,LOT 8 RUGBY SIDE,27355.68
010048100,1093800,50437708,904,EMMET ST N,,LOT B,20255.4
010037000,1007500,50437709,1870,FIELD RD,,LOT 14 BK 8 RUGBY,17511.12
020007000,1206800,50437710,104,BUCKINGHAM RD,,LOT 4 RUGBY SIDE,22172.04
010026000,1213400,50437711,1852,WESTVIEW RD,,LOT 17 & PT 16 & 18 BK 9 RUGBY,24393.6
020008000,697300,50437712,1820,BARRACKS RD,,LOT 1,10890
020025000,2527800,50437713,1839,WESTVIEW RD,,LOT 12A &REVISED LOT 12 BK 11 RUGBY,80150.4
020009000,681700,50437714,1812,BARRACKS RD,,LOT 2,14113.44
010028000,1006100,50437715,1865,FIELD RD,,LOT 4 BK 9 RUGBY,14984.64
010038000,1669300,50437716,1868,FIELD RD,,LOT 13 BK 8 RUGBY,17511.12
010041000,1976700,50437717,906,FENDALL TER,,"LOTS B,C & STRIP RUGBY",45825.12
